product_name,product_price,product_sold
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple iPhone 14 Pro Max 256GB Deep Purple,Rp22.499.000,230 Terjual
Apple iPhone 14 Pro 128GB Deep Purple,Rp18.499.000,263 Terjual
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 14 Pro Max 128GB Deep Purple,Rp20.499.000,315 Terjual
Apple iPhone 12 64GB Blue,Rp10.499.000,186 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple 20W USB-C Power Adapter,Rp499.000,"3,1RB Terjual"
Apple AirPods with Charging Case,Rp1.999.000,"1,4RB Terjual"
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple iPhone 14 Pro Max 256GB Deep Purple,Rp22.499.000,230 Terjual
Apple iPhone 14 Pro 128GB Deep Purple,Rp18.499.000,263 Terjual
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 14 Pro Max 128GB Deep Purple,Rp20.499.000,315 Terjual
Apple iPhone 12 64GB Blue,Rp10.499.000,186 Terjual
Apple iPad 9th Generation Wi-Fi 64GB Silver,Rp4.999.000,155 Terjual
Apple 20W USB-C Power Adapter,Rp499.000,"3,1RB Terjual"
Apple iPad Pro 11-inch 4th Generation WiFi 128GB Space Gray 2022,Rp14.999.000,17 Terjual
USB-C to Lightning Cable (1M),Rp459.000,516 Terjual
Apple iPad 9th Generation Wi-Fi 64GB Space Gray,Rp4.999.000,594 Terjual
Apple iPad 10th Generation Wi-Fi 256GB SILVER  2022,Rp11.499.000,7 Terjual
Apple iPhone 14  256GB Blue,Rp16.999.000,30 Terjual
Apple iPhone 13 256GB Starlight,Rp14.999.000,133 Terjual
Apple iPhone 14 Pro 128GB Space Black,Rp18.499.000,127 Terjual
Apple iPhone 14 Pro 128GB Gold,Rp18.499.000,68 Terjual
Apple AirPods with Charging Case,Rp1.999.000,"1,4RB Terjual"
Apple iPhone 14 Pro Max 512GB Deep Purple,Rp26.999.000,23 Terjual
Apple iPhone 14 Pro 256GB Deep Purple,Rp20.999.000,154 Terjual
Apple iPad Air 5th Generation Wi-Fi 64GB Purple,Rp9.499.000,39 Terjual
Apple iPhone 14  256GB Purple,Rp16.999.000,20 Terjual
Apple iPhone 14 Pro Max 256GB Space Black,Rp22.499.000,96 Terjual
Apple iPhone 13 256GB Midnight,Rp14.999.000,352 Terjual
Apple iPhone 13 Pro Max 128GB Alpine Green,Rp19.299.000,123 Terjual
Apple iPhone 12 64GB Black,Rp10.499.000,137 Terjual
"Apple Watch S8 45mm GPS, Midnight, Alumunium Case with Midnight Sport Band",Rp7.799.000,46 Terjual
Apple iPhone 14 Plus 128GB Yellow,Rp15.999.000,3 Terjual
Apple iPhone 14 Pro 128GB Silver,Rp18.499.000,30 Terjual
Apple iPad Air 5th Generation Wi-Fi 256GB Pink,Rp12.999.000,20 Terjual
Apple iPad Air 5th Generation Wi-Fi 256GB Purple,Rp12.999.000,21 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple iPhone 14 Pro Max 256GB Deep Purple,Rp22.499.000,230 Terjual
Apple iPhone 14 Pro 128GB Deep Purple,Rp18.499.000,263 Terjual
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 14 Pro Max 128GB Deep Purple,Rp20.499.000,315 Terjual
Apple iPhone 12 64GB Blue,Rp10.499.000,186 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple 20W USB-C Power Adapter,Rp499.000,"3,1RB Terjual"
Apple AirPods with Charging Case,Rp1.999.000,"1,4RB Terjual"
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple iPhone 14 Pro Max 256GB Deep Purple,Rp22.499.000,230 Terjual
Apple iPhone 14 Pro 128GB Deep Purple,Rp18.499.000,263 Terjual
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 14 Pro Max 128GB Deep Purple,Rp20.499.000,315 Terjual
Apple iPhone 12 64GB Blue,Rp10.499.000,186 Terjual
Apple iPad 9th Generation Wi-Fi 64GB Silver,Rp4.999.000,155 Terjual
Apple 20W USB-C Power Adapter,Rp499.000,"3,1RB Terjual"
Apple iPad Pro 11-inch 4th Generation WiFi 128GB Space Gray 2022,Rp14.999.000,17 Terjual
USB-C to Lightning Cable (1M),Rp459.000,516 Terjual
Apple iPad 9th Generation Wi-Fi 64GB Space Gray,Rp4.999.000,594 Terjual
Apple iPad 10th Generation Wi-Fi 256GB SILVER  2022,Rp11.499.000,7 Terjual
Apple iPhone 14  256GB Blue,Rp16.999.000,30 Terjual
Apple iPhone 13 256GB Starlight,Rp14.999.000,133 Terjual
Apple iPhone 14 Pro 128GB Space Black,Rp18.499.000,127 Terjual
Apple iPhone 14 Pro 128GB Gold,Rp18.499.000,68 Terjual
Apple AirPods with Charging Case,Rp1.999.000,"1,4RB Terjual"
Apple iPhone 14 Pro Max 512GB Deep Purple,Rp26.999.000,23 Terjual
Apple iPhone 14 Pro 256GB Deep Purple,Rp20.999.000,154 Terjual
Apple iPad Air 5th Generation Wi-Fi 64GB Purple,Rp9.499.000,39 Terjual
Apple iPhone 14  256GB Purple,Rp16.999.000,20 Terjual
Apple iPhone 14 Pro Max 256GB Space Black,Rp22.499.000,96 Terjual
Apple iPhone 13 256GB Midnight,Rp14.999.000,352 Terjual
Apple iPhone 13 Pro Max 128GB Alpine Green,Rp19.299.000,123 Terjual
Apple iPhone 12 64GB Black,Rp10.499.000,137 Terjual
"Apple Watch S8 45mm GPS, Midnight, Alumunium Case with Midnight Sport Band",Rp7.799.000,46 Terjual
Apple iPhone 14 Plus 128GB Yellow,Rp15.999.000,3 Terjual
Apple iPhone 14 Pro 128GB Silver,Rp18.499.000,30 Terjual
Apple iPad Air 5th Generation Wi-Fi 256GB Pink,Rp12.999.000,20 Terjual
Apple iPad Air 5th Generation Wi-Fi 256GB Purple,Rp12.999.000,21 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple iPhone 14 Pro Max 256GB Deep Purple,Rp22.499.000,230 Terjual
Apple iPhone 14 Pro 128GB Deep Purple,Rp18.499.000,263 Terjual
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 14 Pro Max 128GB Deep Purple,Rp20.499.000,315 Terjual
Apple iPhone 12 64GB Blue,Rp10.499.000,186 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple 20W USB-C Power Adapter,Rp499.000,"3,1RB Terjual"
Apple AirPods with Charging Case,Rp1.999.000,"1,4RB Terjual"
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple iPhone 14 Pro Max 256GB Deep Purple,Rp22.499.000,230 Terjual
Apple iPhone 14 Pro 128GB Deep Purple,Rp18.499.000,263 Terjual
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 14 Pro Max 128GB Deep Purple,Rp20.499.000,315 Terjual
Apple iPhone 12 64GB Blue,Rp10.499.000,186 Terjual
Apple iPad 9th Generation Wi-Fi 64GB Silver,Rp4.999.000,155 Terjual
Apple 20W USB-C Power Adapter,Rp499.000,"3,1RB Terjual"
Apple iPad Pro 11-inch 4th Generation WiFi 128GB Space Gray 2022,Rp14.999.000,17 Terjual
USB-C to Lightning Cable (1M),Rp459.000,516 Terjual
Apple iPad 9th Generation Wi-Fi 64GB Space Gray,Rp4.999.000,594 Terjual
Apple iPad 10th Generation Wi-Fi 256GB SILVER  2022,Rp11.499.000,7 Terjual
Apple iPhone 14  256GB Blue,Rp16.999.000,30 Terjual
Apple iPhone 13 256GB Starlight,Rp14.999.000,133 Terjual
Apple iPhone 14 Pro 128GB Space Black,Rp18.499.000,127 Terjual
Apple iPhone 14 Pro 128GB Gold,Rp18.499.000,68 Terjual
Apple AirPods with Charging Case,Rp1.999.000,"1,4RB Terjual"
Apple iPhone 14 Pro Max 512GB Deep Purple,Rp26.999.000,23 Terjual
Apple iPhone 14 Pro 256GB Deep Purple,Rp20.999.000,154 Terjual
Apple iPad Air 5th Generation Wi-Fi 64GB Purple,Rp9.499.000,39 Terjual
Apple iPhone 14  256GB Purple,Rp16.999.000,20 Terjual
Apple iPhone 14 Pro Max 256GB Space Black,Rp22.499.000,96 Terjual
Apple iPhone 13 256GB Midnight,Rp14.999.000,352 Terjual
Apple iPhone 13 Pro Max 128GB Alpine Green,Rp19.299.000,123 Terjual
Apple iPhone 12 64GB Black,Rp10.499.000,137 Terjual
"Apple Watch S8 45mm GPS, Midnight, Alumunium Case with Midnight Sport Band",Rp7.799.000,46 Terjual
Apple iPhone 14 Plus 128GB Yellow,Rp15.999.000,3 Terjual
Apple iPhone 14 Pro 128GB Silver,Rp18.499.000,30 Terjual
Apple iPad Air 5th Generation Wi-Fi 256GB Pink,Rp12.999.000,20 Terjual
Apple iPad Air 5th Generation Wi-Fi 256GB Purple,Rp12.999.000,21 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple iPhone 14 Pro Max 256GB Deep Purple,Rp22.499.000,230 Terjual
Apple iPhone 14 Pro 128GB Deep Purple,Rp18.499.000,263 Terjual
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 14 Pro Max 128GB Deep Purple,Rp20.499.000,315 Terjual
Apple iPhone 12 64GB Blue,Rp10.499.000,186 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple 20W USB-C Power Adapter,Rp499.000,"3,1RB Terjual"
Apple AirPods with Charging Case,Rp1.999.000,"1,4RB Terjual"
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 11 64GB Black,Rp7.249.000,"5,1RB Terjual"
Apple iPhone 14 Pro Max 256GB Deep Purple,Rp22.499.000,230 Terjual
Apple iPhone 14 Pro 128GB Deep Purple,Rp18.499.000,263 Terjual
Apple iPhone 13 128GB Midnight,Rp12.499.000,845 Terjual
Apple iPhone 14 Pro Max 128GB Deep Purple,Rp20.499.000,315 Terjual
Apple iPhone 12 64GB Blue,Rp10.499.000,186 Terjual
Apple iPad 9th Generation Wi-Fi 64GB Silver,Rp4.999.000,155 Terjual
Apple 20W USB-C Power Adapter,Rp499.000,"3,1RB Terjual"
Apple iPad Pro 11-inch 4th Generation WiFi 128GB Space Gray 2022,Rp14.999.000,17 Terjual
USB-C to Lightning Cable (1M),Rp459.000,516 Terjual
Apple iPad 9th Generation Wi-Fi 64GB Space Gray,Rp4.999.000,594 Terjual
Apple iPad 10th Generation Wi-Fi 256GB SILVER  2022,Rp11.499.000,7 Terjual
Apple iPhone 14  256GB Blue,Rp16.999.000,30 Terjual
Apple iPhone 13 256GB Starlight,Rp14.999.000,133 Terjual
Apple iPhone 14 Pro 128GB Space Black,Rp18.499.000,127 Terjual
Apple iPhone 14 Pro 128GB Gold,Rp18.499.000,68 Terjual
Apple AirPods with Charging Case,Rp1.999.000,"1,4RB Terjual"
Apple iPhone 14 Pro Max 512GB Deep Purple,Rp26.999.000,23 Terjual
Apple iPhone 14 Pro 256GB Deep Purple,Rp20.999.000,154 Terjual
Apple iPad Air 5th Generation Wi-Fi 64GB Purple,Rp9.499.000,39 Terjual
Apple iPhone 14  256GB Purple,Rp16.999.000,20 Terjual
Apple iPhone 14 Pro Max 256GB Space Black,Rp22.499.000,96 Terjual
Apple iPhone 13 256GB Midnight,Rp14.999.000,352 Terjual
Apple iPhone 13 Pro Max 128GB Alpine Green,Rp19.299.000,123 Terjual
Apple iPhone 12 64GB Black,Rp10.499.000,137 Terjual
"Apple Watch S8 45mm GPS, Midnight, Alumunium Case with Midnight Sport Band",Rp7.799.000,46 Terjual
Apple iPhone 14 Plus 128GB Yellow,Rp15.999.000,3 Terjual
Apple iPhone 14 Pro 128GB Silver,Rp18.499.000,30 Terjual
Apple iPad Air 5th Generation Wi-Fi 256GB Pink,Rp12.999.000,20 Terjual
Apple iPad Air 5th Generation Wi-Fi 256GB Purple,Rp12.999.000,21 Terjual
